The One Man Olympics,,29122,2008-7-2
Ni Hong Deng Xia Xin Shao Bing ,,29048,2008-12-2
Mai Mai Ti De 2008,HuaXia,21421,2008-5-9
Hu San Niang,,17148,2008-5-9
You Xi Mi Cang,,15339,2008-8-26
Olympic Is In My Family,,14607,2008-10-9
Shanghai Trance (City of Trance),,14600,2008-10-28
Qi yu (Old Fish),,14561,2008-6-27
Anna & Anna,,7300,2008-10-31
Transformers,China Film,37218823,2007-7-11
Ji jie hao (Assembly),China Film,34089912,2007-12-20
Tau ming chong (The Warlords),China Film,27601246,2007-12-12
Harry Potter and the Order of the Phoenix,China Film,19410000,2007-8-11
Spider-Man 3,China Film,18924747,2007-5-1
"Si jie (Lust, Caution)",China Film,17109185,2007-11-1
Pirates of the Caribbean: At World's End,China Film,16970000,2007-6-12
Casino Royale,,11770398,2007-1-30
Night at the Museum,China Film,8319134,2007-2-14
Moon to (Prot?g?),Poly Bona,8069097,2007-2-6
TMNT,China Film,4819908,2007-5-18
Nan er ben se (Invisible Target),Poly Bona,4482709,2007-7-19
One Foundation,China Film,4474576,2007-11-29
Bu neng shuo de. mi mi (Secret),China Film,4407852,2007-7-31
Eragon,China Film,4392922,2007-4-6
Dou fo sin (Flash Point),Poly Bona,4090789,2007-8-3
Live Free or Die Hard,China Film,3979257,2007-11-15
Tian tang kou (Blood Brothers),Bona Light,3944291,2007-8-16
Hing dai (Brothers),Poly Bona,3860900,2007-10-18
Deja Vu,HuaXia,3800000,2007-3-19
Ghost Rider,China Film,3759994,2007-6-3
Tie saam gok (Triangle),Poly Bona,3616637,2007-10-1
Shooter,HuaXia,3245468,2007-4-20
The Guardian,China Film,3157013,2007-1-13
Mr. Bean's Holiday,China Film,3048163,2007-7-27
The Bourne Ultimatum,China Film,3026471,2007-11-15
Ratatouille,HuaXia,2871850,2007-10-19
Baohulu de mimi (The Secret of the Magic Gourd),China Film,2725713,2007-6-29
Doraemon: Nobita no ky?ry? (2006),HuaXia,2682446,2007-7-20
Tristan and Isolde,XinHua,2569673,2007-4-20
The Devil Wears Prada,China Film,2401750,2007-2-27
Prey (2007),China Film,2206479,2007-9-7
Tai yang zhao chang sheng qi (The Sun Also Rises),,2130247,2007-9-14
Mi-nyeo-neun Gwae-ro-wo (200 Pounds Beauty),China Film,2076217,2007-9-28
Taxi 4,Bona Wenhua,2023472,2007-10-4
Hup yeu ching yan (Contract Lover),UME,1860515,2007-8-16
Gwoemul (The Host),Beijing Wanda,1848333,2007-3-9
Babel,China Film,1810727,2007-3-13
No Reservations,China Film,1808318,2007-9-7
16 Blocks,Beijing Shidai,1765482,2007-3-30
Let's Steal Together,Poly Bona,1676554,2007-2-18
Luo ye gui gen (Getting Home),XinHua,1675150,2007-1-19
Dei yuk dai sup gau tsang (Naraka 19),Shidai Yinying,1647884,2007-8-28
Nihon chinbotsu (Sinking of Japan),HuaXia,1596594,2007-9-21
Arthur et les Minimoys (Arthur and the Invisibles),Duomeng,1584949,2007-1-19
Chaos (2005),Beijing Chuangs,1551049,2007-3-9
Ai qing hu jiao zhuan yi,Xiying Huayi,1547449,2007-2-8
Xin zhong you gui (The Matrimony),Xiying Huayi,1418495,2007-2-8
My Blueberry Nights,Oriental,1398408,2007-12-22
Click,China Film,1387909,2007-4-20
Nanking,HuaXia,1315650,2007-7-6
Ping guo (Lost in Beijing),Poly Bona,1286914,2007-11-30
Stormbreaker,Shanghai Huayu,1272763,2007-4-13
Dangerous Games,Dengtian Yule,1237539,2007-12-28
Final Contract: Death or Delivery,Zijing Sanlian,1237360,2007-9-28
C+ jing taam (The Detective),Bona Wenhua,1205546,2007-9-26
The Dream Is Alive,Oriental,1044068,2007-10-26
Gun chung (Eye in the Sky),Poly Bona,1043304,2007-6-23
Shrek the Third,China Digital,982214,2007-8-21
Shark Bait (a.k.a. The Reef),China Digital,955961,2007-3-9
The First of August,China Film,924252,2007-9-20
Bullet Fist,HuaXia,912678,2007-11-30
Bong ga (Kidnap),XinHua,825147,2007-6-8
Two Stupid Eggs,Xingmei,813559,2007-12-21
Sum yuen (Forest of Death),Poly Bona,717444,2007-3-23
Men (The Door),Zijing Sanlian,708717,2007-1-18
Yi ma de hou xian dai sheng huo (The Postmodern Life of My Aunt),Poly Bona,671757,2007-3-6
Hei wong ji wong (Simply Actors),China Film,651180,2007-8-28
Sun yat fai lok (Happy Birthday),Shanghai Huayu,644288,2007-1-16
Ming Ming,Poly Bona,559415,2007-4-26
Lo kong ching chuen (Mr. Cinema),China Film,525555,2007-6-21
DOA: Dead or Alive,China Film,516235,2007-7-24
Kampfansage - Der letzte Sch?ler (Bullet Fist),HuaXia,487673,2007-11-30
Yoru no shanghai (The Longest Night in Shanghai),Beijing Jidongxing,455157,2007-6-29
Flyboys,China Film,451339,2007-2-9
Ars?ne Lupin,China Film,439748,2007-3-16
Indig?nes (Days of Glory),HuaXia,404694,2007-10-26
Happy Feet,Oriental,386573,2007-1-12
Falling in Love,China Film,362145,2007-3-30
The Closet,Zijing Sanlian,339156,2007-5-10
Bullet & Brain,Dengtian Yule,334874,2007-10-19
Volkodav iz roda serykh psov (The Wolfhound),China Film,322863,2007-11-6
Gan bu,Sanlian,322756,2007-3-2
Night Attack,China Film,317965,2007-8-24
Sup fun oi (Love Is Not All Around),Guangdong,313067,2007-4-19
World Second,China Film,306014,2007-9-30
Mui dong bin wan si (Hooked on You),Poly Bona,303438,2007-6-29
Kung Fu Fighter,Bona Wenhua,299518,2007-4-27
Shen xiao chuan qi,,269502,2007-11-9
Red Start,Xingmei,266099,2007-10-1
Bienazijibudangganbu,Zijing,257931,2007-3-2
Nan cai nu mao,Beijing Start,256171,2007-1-9
Shanghai Red,Shanghai,221756,2007-4-28
Nui yan boon sik (Wonder Woman),Guangxian,217684,2007-7-3
Warrior,Oriental,196760,2007-6-29
E-Mail,Bona Wenhua,195338,2007-4-12
Tuya de hun shi (Tuya's Marriage),HuaXia,174608,2007-4-13
Tim sum fun si wong (Super Fans),Zinjing Cheng Sanlia,155205,2007-4-5
Shi fen ai,Guangdong,138682,2007-4-20
Legend of the Tang Dynasty,Hangzhou jingu,78267,2007-5-30
Zhan. gu (The Drummer),Dadi Shidai,47238,2007-11-22
Lost Soul in the Ancient House,,43189,2007-11-22
Forgive and Forget,Oriental,37790,2007-11-23
Summer (2007),,37730,2007-11-9
Gongpu,HuaXia,32744,2007-6-20
My Xianggelila,,26420,2007-7-23
Rapid Blind Date,China Film,23771,2007-7-20
Tiandigaobai,Oriental,19646,2007-6-20
